reference	ref_length	mean_coverage	std_coverage	pct_covered
kraken:taxid|139386	53885	0.01	0.14	0.35
kraken:taxid|1394546	15255	0.01	0.13	0.20
kraken:taxid|1395098	15152	0.01	0.13	0.18
kraken:taxid|139543	16188	0.01	0.19	0.18
kraken:taxid|139721	16662	0.01	0.11	0.29
kraken:taxid|139723	15364	0.00	0.04	0.19
kraken:taxid|1397537	16054	0.11	2.69	0.26
kraken:taxid|139833	179081	0.00	0.10	0.04
kraken:taxid|139869	13991	0.02	0.42	0.24
kraken:taxid|140003	104497	0.00	0.13	0.07
kraken:taxid|1404354	15805	0.13	3.14	0.45
kraken:taxid|140446	16693	0.01	0.21	0.27
kraken:taxid|140453	13338	0.00	0.04	0.20
kraken:taxid|1405805	53882	8.50	31.53	48.36
kraken:taxid|140628	106795	0.00	0.15	0.07
kraken:taxid|140635	99864	0.00	0.17	0.08
kraken:taxid|140636	104636	0.00	0.13	0.04
kraken:taxid|140661	452158	0.00	0.02	0.01
kraken:taxid|1411623	40432	0.07	2.04	0.65
kraken:taxid|141186	333948	0.00	0.05	0.04
kraken:taxid|141464	17432	0.00	0.07	0.49
kraken:taxid|1414657	15064	0.01	0.13	0.19
kraken:taxid|1414807	15563	0.00	0.04	0.20
kraken:taxid|1415246	15282	0.00	0.06	0.37
kraken:taxid|1416932	18577	0.00	0.12	0.15
kraken:taxid|1416941	152089	0.02	1.15	0.17
kraken:taxid|1417004	14597	0.85	19.91	0.61
kraken:taxid|141716	60883	0.03	0.54	0.45
kraken:taxid|1417366	15615	0.00	0.04	0.13
kraken:taxid|1417367	15365	0.00	0.08	0.17
kraken:taxid|1417370	15236	0.00	0.06	0.35
kraken:taxid|141829	14241	0.02	0.38	0.18
kraken:taxid|141836	18894	0.01	0.15	0.55
kraken:taxid|1418666	15408	0.01	0.17	0.18
kraken:taxid|1418783	15526	0.00	0.04	0.19
kraken:taxid|1423826	17211	0.01	0.18	0.20
kraken:taxid|1424640	25071	9.38	271.09	0.12
kraken:taxid|1425170	16568	0.03	0.29	1.43
kraken:taxid|142658	16699	0.13	2.73	0.23
kraken:taxid|142660	16691	0.00	0.04	0.19
kraken:taxid|1426789	16642	0.16	3.46	0.22
kraken:taxid|1426864	15661	0.02	0.40	0.37
kraken:taxid|1426894	15472	0.01	0.23	0.22
kraken:taxid|1426897	15663	0.01	0.07	0.54
kraken:taxid|1426903	15459	0.21	5.12	0.17
kraken:taxid|1429820	14681	0.01	0.13	0.18
kraken:taxid|143017	100252	0.17	6.73	0.47
kraken:taxid|1430596	15340	0.00	0.04	0.17
kraken:taxid|1430715	15545	0.01	0.10	0.37
kraken:taxid|143163	34727	0.00	0.03	0.08
kraken:taxid|1432377	17470	0.01	0.15	0.15
kraken:taxid|143297	15781	0.00	0.08	0.17
kraken:taxid|143300	16602	0.00	0.05	0.25
kraken:taxid|143326	16473	0.00	0.09	0.18
kraken:taxid|143352	16904	0.00	0.04	0.20
kraken:taxid|143354	16719	0.00	0.04	0.16
kraken:taxid|143451	42644	0.01	0.15	0.71
kraken:taxid|143568	17620	0.00	0.04	0.19
kraken:taxid|1436140	46657	0.03	1.14	0.27
kraken:taxid|143630	17220	0.01	0.30	0.19
kraken:taxid|1437087	15330	0.10	2.37	0.22
kraken:taxid|1437250	15131	0.00	0.09	0.20
kraken:taxid|143885	61314	0.01	0.37	0.11
kraken:taxid|1440115	46638	0.01	0.15	0.23
kraken:taxid|1442784	257378	0.00	0.12	0.11
kraken:taxid|1443144	53464	0.01	0.16	0.30
kraken:taxid|1443565	16705	0.02	0.46	0.17
kraken:taxid|144551	35035	0.00	0.09	0.25
kraken:taxid|144766	14128	0.01	0.17	0.19
kraken:taxid|1449814	15575	0.00	0.09	0.21
kraken:taxid|1449818	15563	0.00	0.04	0.18
kraken:taxid|1453155	15209	0.00	0.04	0.18
kraken:taxid|1453194	16882	0.01	0.16	0.16
kraken:taxid|1453199	15654	0.01	0.13	0.20
kraken:taxid|1453305	16126	0.24	3.61	0.95
kraken:taxid|1453440	15354	0.01	0.16	0.17
kraken:taxid|145471	219747	0.02	1.71	0.03
kraken:taxid|145475	49343	3.44	117.58	0.40
kraken:taxid|145522	38057	0.00	0.06	0.18
kraken:taxid|1458650	15659	0.00	0.09	0.19
kraken:taxid|145882	15432	0.01	0.12	0.17
kraken:taxid|1458866	48049	0.01	0.15	0.32
kraken:taxid|145971	36554	0.00	0.08	0.08
kraken:taxid|1460501	16625	0.01	0.20	0.16
kraken:taxid|146096	343746	0.00	0.08	0.05
kraken:taxid|1461108	16818	0.00	0.08	0.15
kraken:taxid|1461354	15572	0.00	0.09	0.19
kraken:taxid|146143	16544	0.26	6.16	0.18
kraken:taxid|1461542	36041	0.02	0.28	0.38
kraken:taxid|1461544	38736	0.01	0.15	0.15
kraken:taxid|1463941	16816	0.00	0.06	0.36
kraken:taxid|1463946	16864	0.86	19.27	0.36
kraken:taxid|1464060	18919	0.18	3.78	0.68
kraken:taxid|1464891	15662	0.02	0.42	0.34
kraken:taxid|146584	103098	0.00	0.23	0.07
kraken:taxid|146777	89139	0.00	0.10	0.06
kraken:taxid|146995	208791	0.00	0.03	0.03
kraken:taxid|1471042	46559	0.00	0.04	0.19
kraken:taxid|1472349	15562	0.01	0.18	0.21
kraken:taxid|147273	469949	0.59	67.90	0.17
kraken:taxid|147464	17070	0.00	0.06	0.39
kraken:taxid|147466	17061	0.01	0.35	0.16
kraken:taxid|1477527	16912	0.01	0.31	0.15
kraken:taxid|147926	949915	0.00	0.07	0.02
kraken:taxid|1480100	15680	0.01	0.29	0.26
kraken:taxid|1480154	186196	0.00	0.01	0.02
kraken:taxid|148064	16655	0.00	0.04	0.17
kraken:taxid|148086	16707	0.01	0.24	0.16
kraken:taxid|1481661	17893	0.01	0.18	0.53
kraken:taxid|1481669	19212	0.00	0.06	0.31
kraken:taxid|1481751	15373	0.00	0.04	0.20
kraken:taxid|1486748	15907	0.00	0.08	0.16
kraken:taxid|1486872	120920	0.16	6.63	0.81
kraken:taxid|1487565	44653	0.01	0.21	0.09
kraken:taxid|148947	209034	0.01	0.62	0.20
kraken:taxid|1489483	39216	0.01	0.30	0.33
kraken:taxid|1490262	16708	0.02	0.38	0.39
kraken:taxid|1491472	29791	0.00	0.03	0.10
kraken:taxid|1491479	28668	0.01	0.25	0.13
kraken:taxid|1496258	17612	0.01	0.14	0.39
kraken:taxid|1497103	18436	0.00	0.12	0.15
kraken:taxid|1499728	15747	0.01	0.18	0.35
kraken:taxid|149978	16665	0.03	0.59	0.18
kraken:taxid|149986	16536	0.01	0.22	0.21
kraken:taxid|1499945	55369	0.00	0.04	0.05
kraken:taxid|150206	187475	0.02	0.76	0.21
kraken:taxid|1502171	15656	0.02	0.16	1.23
kraken:taxid|150224	56695	0.00	0.03	0.10
kraken:taxid|1502324	15538	0.00	0.04	0.17
kraken:taxid|150431	16105	0.00	0.04	0.17
kraken:taxid|150436	15767	0.01	0.17	0.18
kraken:taxid|1506151	30191	0.11	0.94	3.45
kraken:taxid|1506548	113475	0.00	0.02	0.02
kraken:taxid|1507972	15753	0.01	0.14	0.40
kraken:taxid|150914	16782	0.00	0.04	0.18
kraken:taxid|1510182	16445	0.00	0.04	0.17
kraken:taxid|151182	16247	0.00	0.09	0.18
kraken:taxid|151218	17582	0.01	0.16	0.16
kraken:taxid|151332	429732	0.02	2.35	0.01
kraken:taxid|151440	510187	0.00	0.02	0.01
kraken:taxid|1514856	15190	0.00	0.04	0.18
kraken:taxid|1514897	38143	2.42	4.09	50.79
kraken:taxid|151761	18909	0.01	0.18	0.39
kraken:taxid|151773	18851	11.28	257.02	0.23
kraken:taxid|1518448	17347	0.08	2.17	0.15
kraken:taxid|1518593	32357	0.04	0.51	1.01
kraken:taxid|1518595	39842	1.28	42.37	3.76
kraken:taxid|1519145	18372	26.75	624.62	0.23
kraken:taxid|1522369	43295	0.23	4.29	0.58
kraken:taxid|1523893	16833	0.00	0.04	0.18
kraken:taxid|1524498	15846	0.00	0.08	0.21
kraken:taxid|1524544	15904	0.05	1.21	0.16
kraken:taxid|1524606	15828	0.00	0.04	0.16
kraken:taxid|1524810	15198	0.01	0.13	0.18
kraken:taxid|1524811	15669	0.00	0.06	0.36
kraken:taxid|1524889	17036	0.01	0.13	0.35
kraken:taxid|1525196	15655	0.00	0.09	0.23
kraken:taxid|152539	16534	0.00	0.09	0.19
kraken:taxid|1526548	14580	0.51	10.63	1.28
kraken:taxid|1526552	15205	0.00	0.04	0.19
kraken:taxid|1526560	15272	0.00	0.06	0.36
kraken:taxid|1526741	16787	0.00	0.04	0.15
kraken:taxid|1527830	195825	0.07	2.21	0.25
kraken:taxid|1527831	198476	0.00	0.11	0.02
kraken:taxid|1529418	15917	0.00	0.08	0.16
kraken:taxid|152958	51980	0.02	0.49	0.28
kraken:taxid|152963	56008	0.03	0.45	0.48
kraken:taxid|1529658	15216	0.00	0.04	0.18
kraken:taxid|1531312	16158	0.01	0.12	0.17
kraken:taxid|153251	47586	0.01	0.13	0.20
kraken:taxid|153459	287626	0.00	0.10	0.02
kraken:taxid|1534972	39580	0.01	0.27	0.32
kraken:taxid|153609	109103	8.79	507.33	0.19
kraken:taxid|1539280	16849	0.00	0.05	0.21
kraken:taxid|1542591	15475	0.01	0.22	0.19
kraken:taxid|154293	52139	0.01	0.18	0.09
kraken:taxid|154344	78447	0.00	0.02	0.04
kraken:taxid|154539	38296	0.00	0.03	0.12
kraken:taxid|1546019	15812	0.00	0.04	0.18
kraken:taxid|1547579	16511	0.10	1.68	0.38
kraken:taxid|154764	513095	0.01	0.28	0.14
kraken:taxid|154798	15904	0.00	0.05	0.25
kraken:taxid|154970	74129	0.01	0.24	0.26
kraken:taxid|1550413	17354	0.01	0.17	0.18
kraken:taxid|1550555	15926	0.01	0.23	0.40
kraken:taxid|155086	17061	0.09	1.33	0.63
kraken:taxid|155173	16547	0.02	0.45	0.19
kraken:taxid|1553085	15555	0.07	0.35	4.47
kraken:taxid|1555244	15490	0.00	0.06	0.34
kraken:taxid|155675	74809	0.01	0.15	0.26
kraken:taxid|1557996	15266	0.01	0.17	0.48
kraken:taxid|155915	16584	0.02	0.27	0.81
kraken:taxid|1560150	15337	0.00	0.09	0.22
kraken:taxid|1560151	16049	0.01	0.12	0.21
kraken:taxid|1560203	15219	0.00	0.04	0.17
kraken:taxid|1560210	15271	0.01	0.27	0.20
kraken:taxid|1562130	16737	0.04	1.03	0.19
kraken:taxid|1562161	15536	0.01	0.13	0.20
kraken:taxid|1562163	38666	0.10	0.87	2.11
kraken:taxid|1562316	365168	1.07	109.37	0.03
kraken:taxid|1564103	15307	0.00	0.05	0.21
kraken:taxid|1564456	56901	0.01	0.61	0.05
kraken:taxid|1564500	16029	0.01	0.24	0.22
kraken:taxid|156561	16760	0.04	0.99	0.38
kraken:taxid|1566825	88194	0.00	0.04	0.04
kraken:taxid|1567482	29517	0.01	0.24	0.50
kraken:taxid|1567524	16553	0.00	0.04	0.19
kraken:taxid|156996	32021	0.00	0.12	0.16
kraken:taxid|1569972	16014	0.02	0.29	0.78
kraken:taxid|1570515	14930	0.01	0.17	0.17
kraken:taxid|157056	16100	0.00	0.07	0.47
kraken:taxid|157061	16562	0.01	0.19	0.53
kraken:taxid|157072	49061	0.01	0.25	0.36
kraken:taxid|1571107	95676	0.00	0.01	0.02
kraken:taxid|1571514	15859	0.01	0.12	0.17
kraken:taxid|1571525	16495	0.00	0.12	0.16
kraken:taxid|157363	21209	0.06	1.62	0.25
kraken:taxid|157409	426495	0.01	0.18	0.25
kraken:taxid|1577136	15878	0.00	0.08	0.18
kraken:taxid|1577200	15970	0.02	0.55	0.22
kraken:taxid|1577906	35509	2.16	29.38	2.82
kraken:taxid|157791	401262	0.00	0.06	0.01
kraken:taxid|157914	324124	0.00	0.21	0.11
kraken:taxid|1579976	230069	0.01	0.54	0.19
kraken:taxid|1579977	209513	0.03	1.47	0.15
kraken:taxid|158019	16208	0.00	0.04	0.16
kraken:taxid|158149	504515	0.00	0.09	0.13
kraken:taxid|1581554	16619	0.00	0.04	0.19
kraken:taxid|158443	18044	0.84	14.11	0.65
kraken:taxid|1585357	15093	0.71	15.20	0.30
kraken:taxid|1585466	56579	0.05	0.81	0.72
kraken:taxid|158587	16211	3.26	77.15	0.25
kraken:taxid|158605	99976	0.01	0.23	0.30
kraken:taxid|1589673	16179	0.00	0.04	0.16
kraken:taxid|1589740	15397	0.01	0.26	0.19
kraken:taxid|1589764	35079	0.12	0.65	5.45
kraken:taxid|159053	545150	0.00	0.57	0.01
kraken:taxid|1591021	17120	0.00	0.04	0.17
kraken:taxid|1593348	15741	0.01	0.24	0.17
kraken:taxid|15945	539368	0.00	0.05	0.04
kraken:taxid|159716	18858	0.01	0.26	0.14
kraken:taxid|1602346	16466	0.00	0.04	0.18
kraken:taxid|160290	51551	0.00	0.07	0.35
kraken:taxid|1603417	15785	0.14	3.15	0.22
kraken:taxid|1604128	16711	0.00	0.06	0.21
kraken:taxid|1606511	35545	0.01	0.17	0.36
kraken:taxid|1606672	16688	0.00	0.05	0.20
kraken:taxid|1606676	16636	0.00	0.09	0.21
kraken:taxid|1606680	16597	0.16	3.79	0.19
kraken:taxid|160761	16779	0.14	3.42	0.18
kraken:taxid|160766	16597	0.00	0.04	0.19
kraken:taxid|1608326	15060	0.00	0.06	0.37
kraken:taxid|160838	13498	0.00	0.09	0.22
kraken:taxid|1608523	40665	0.09	3.05	0.23
kraken:taxid|160860	189696	0.03	1.25	0.29
kraken:taxid|160864	47937	0.05	1.52	0.53
kraken:taxid|161013	15333	0.00	0.04	0.17
kraken:taxid|161058	15722	2.15	52.65	0.18
kraken:taxid|1610689	22376	0.11	1.01	2.49
kraken:taxid|161071	15710	0.13	3.23	0.17
kraken:taxid|1615824	15252	0.01	0.30	0.19
kraken:taxid|161649	16818	0.00	0.08	0.18
kraken:taxid|161653	16847	0.00	0.04	0.17
kraken:taxid|161676	17091	0.00	0.06	0.37
kraken:taxid|1618307	16793	0.00	0.04	0.16
kraken:taxid|161979	69325	0.01	0.32	0.18
kraken:taxid|161986	64034	9.56	369.29	0.35
kraken:taxid|161997	62785	0.00	0.05	0.10
kraken:taxid|162003	59208	0.48	20.73	0.22
kraken:taxid|162004	63890	0.00	0.04	0.05
kraken:taxid|162045	64169	0.48	22.40	0.20
kraken:taxid|162120	39087	0.01	0.11	0.36
kraken:taxid|1621551	16484	0.00	0.05	0.27
kraken:taxid|162317	38406	0.10	2.80	0.17
kraken:taxid|162325	16695	0.00	0.06	0.31
kraken:taxid|1628032	13920	0.00	0.04	0.19
kraken:taxid|1628817	16584	0.01	0.13	0.41
kraken:taxid|162998	15585	0.00	0.04	0.19
kraken:taxid|1630362	13655	0.04	0.79	0.23
kraken:taxid|163121	16872	0.00	0.10	0.23
kraken:taxid|163144	16534	0.02	0.49	0.17
kraken:taxid|1631986	15259	0.00	0.08	0.18
kraken:taxid|163232	20722	0.01	0.30	0.14
kraken:taxid|163304	90816	0.00	0.03	0.11
kraken:taxid|163317	87405	0.00	0.14	0.11
kraken:taxid|1634976	16039	0.00	0.05	0.26
kraken:taxid|1638174	13475	0.36	7.72	0.30
kraken:taxid|1638731	137790	0.02	1.00	0.12
kraken:taxid|1640932	313142	0.00	0.08	0.11
kraken:taxid|1642187	18752	0.00	0.04	0.17
kraken:taxid|1642465	37083	0.00	0.03	0.07
kraken:taxid|164324	16408	0.01	0.31	0.20
kraken:taxid|164328	39314	0.01	0.28	0.30
kraken:taxid|1643632	16525	0.01	0.25	0.18
kraken:taxid|164648	16595	0.01	0.17	0.34
kraken:taxid|164686	15876	0.00	0.07	0.13
kraken:taxid|164688	15843	0.00	0.08	0.20
kraken:taxid|1647520	16210	4.60	109.48	0.38
kraken:taxid|1649241	62514	0.00	0.07	0.09
kraken:taxid|1651263	16615	0.06	1.41	0.17
kraken:taxid|165200	772631	0.00	0.01	0.01
kraken:taxid|1652496	15282	0.00	0.05	0.22
kraken:taxid|165439	108865	0.08	2.39	0.42
kraken:taxid|165473	15268	0.00	0.05	0.22
kraken:taxid|165711	825163	0.00	0.01	0.01
kraken:taxid|165712	752501	0.00	0.02	0.02
kraken:taxid|165716	1022459	0.00	0.15	0.14
kraken:taxid|1658174	51744	1.67	15.42	3.33
kraken:taxid|1659837	64620	0.04	0.48	1.68
kraken:taxid|1659845	112060	0.00	0.12	0.07
kraken:taxid|166045	15513	0.00	0.08	0.17
kraken:taxid|166114	14968	4.41	103.44	0.26
kraken:taxid|166256	16479	0.00	0.04	0.19
kraken:taxid|1663117	15376	0.00	0.09	0.20
kraken:taxid|1664388	56935	0.10	1.76	1.27
kraken:taxid|1665410	16820	0.00	0.04	0.18
kraken:taxid|167043	17364	0.01	0.21	0.17
kraken:taxid|1670692	15385	0.00	0.08	0.17
kraken:taxid|1671211	16269	0.00	0.10	0.21
kraken:taxid|1672220	16736	0.00	0.04	0.16
kraken:taxid|167337	551622	0.00	0.04	0.06
kraken:taxid|167356	119110	0.01	0.25	0.14
kraken:taxid|167367	57388	0.01	0.24	0.14
kraken:taxid|167526	15968	0.00	0.08	0.16
kraken:taxid|1677011	15164	3.37	62.30	0.47
kraken:taxid|167791	437271	0.00	0.04	0.05
kraken:taxid|1678074	106343	0.00	0.15	0.11
kraken:taxid|1678292	14638	0.00	0.04	0.20
kraken:taxid|1678301	15354	0.00	0.06	0.35
kraken:taxid|1681221	14864	0.01	0.26	0.19
kraken:taxid|1681229	51088	0.02	0.22	0.64
kraken:taxid|168172	101521	0.01	0.13	0.22
kraken:taxid|1682381	35313	0.00	0.03	0.09
kraken:taxid|168639	17380	0.00	0.04	0.16
kraken:taxid|1688786	16875	0.02	0.38	0.35
kraken:taxid|1690101	38130	0.00	0.12	0.22
kraken:taxid|169388	62978	0.64	10.93	3.41
kraken:taxid|169489	38991	0.69	2.93	11.49
kraken:taxid|1697385	82136	0.00	0.02	0.03
kraken:taxid|1697387	75407	0.00	0.08	0.04
kraken:taxid|169774	37366	0.00	0.11	0.16
kraken:taxid|169851	17575	0.00	0.04	0.19
kraken:taxid|1701550	16551	1.50	37.78	0.16
kraken:taxid|170207	16561	0.00	0.05	0.21
kraken:taxid|170227	16718	0.01	0.13	0.36
kraken:taxid|1704320	15464	0.01	0.09	0.39
kraken:taxid|1706499	15626	0.00	0.04	0.17
kraken:taxid|170895	16407	0.01	0.07	0.51
kraken:taxid|1708998	16411	0.11	2.44	0.31
kraken:taxid|171266	16732	0.01	0.23	0.44
kraken:taxid|171270	16682	0.02	0.38	0.35
kraken:taxid|171273	16860	0.28	4.81	0.63
kraken:taxid|171275	16897	0.33	6.58	0.43
kraken:taxid|171277	16817	0.39	8.67	0.56
kraken:taxid|171406	17020	0.00	0.12	0.16
kraken:taxid|171416	16599	0.01	0.24	0.16
kraken:taxid|1716017	277718	0.00	0.02	0.03
kraken:taxid|1725373	15618	0.04	0.94	0.17
kraken:taxid|172621	32029	0.02	0.35	0.53
kraken:taxid|1727191	17456	0.01	0.15	0.15
kraken:taxid|172808	15842	0.00	0.04	0.16
kraken:taxid|172906	16521	0.01	0.19	0.24
kraken:taxid|172910	16596	0.00	0.05	0.22
kraken:taxid|172946	25775	0.00	0.07	0.12
kraken:taxid|172951	25531	0.00	0.03	0.12
kraken:taxid|172968	25272	0.00	0.07	0.12
kraken:taxid|172972	25734	0.00	0.07	0.12
kraken:taxid|172979	27036	0.00	0.03	0.09
kraken:taxid|172989	25348	0.00	0.10	0.11
kraken:taxid|173222	17923	0.20	5.08	0.15
kraken:taxid|173228	17929	0.00	0.04	0.20
kraken:taxid|1734477	16825	0.01	0.21	0.37
kraken:taxid|1734949	16244	0.12	2.70	0.22
kraken:taxid|1734960	16303	0.01	0.18	0.20
kraken:taxid|173542	25235	0.02	0.74	0.11
kraken:taxid|1735648	15613	0.00	0.05	0.27
kraken:taxid|1735703	15041	0.00	0.09	0.22
kraken:taxid|1738060	15465	0.00	0.04	0.17
kraken:taxid|1738592	54684	0.00	0.02	0.06
kraken:taxid|173977	46700	0.00	0.02	0.06
kraken:taxid|174043	57569	0.04	1.21	0.40
kraken:taxid|174044	57826	0.00	0.15	0.04
kraken:taxid|174053	53632	0.01	0.13	0.32
kraken:taxid|174056	52819	0.00	0.05	0.27
kraken:taxid|174060	59822	0.00	0.09	0.09
kraken:taxid|174067	58325	0.00	0.15	0.11
kraken:taxid|174074	55771	0.01	0.18	0.12
kraken:taxid|174076	50482	0.00	0.03	0.08
kraken:taxid|174077	58895	0.00	0.06	0.22
kraken:taxid|174080	65878	0.01	0.16	0.22
kraken:taxid|1744888	520764	0.00	0.11	0.07
kraken:taxid|174634	16140	64.76	1518.82	0.23
kraken:taxid|174643	79835	0.00	0.04	0.03
kraken:taxid|174719	16948	0.01	0.13	0.34
kraken:taxid|1751538	16152	0.00	0.04	0.16
kraken:taxid|1751714	15229	0.00	0.04	0.17
kraken:taxid|1754001	16546	0.00	0.08	0.16
kraken:taxid|1756217	16936	0.04	0.72	0.66
kraken:taxid|1756218	16917	0.03	0.63	0.66
kraken:taxid|1756219	17050	0.01	0.14	0.50
kraken:taxid|175648	58959	0.01	0.32	0.05
kraken:taxid|175686	97345	0.00	0.02	0.03
kraken:taxid|175830	17117	0.01	0.11	0.42
kraken:taxid|175834	22737	0.00	0.04	0.13
kraken:taxid|175858	95209	0.01	0.23	0.09
kraken:taxid|175930	16820	0.00	0.04	0.17
kraken:taxid|175933	16796	0.00	0.06	0.33
kraken:taxid|175949	16806	0.05	0.84	0.55
kraken:taxid|176007	30892	0.01	0.15	0.50
kraken:taxid|176015	16984	0.00	0.09	0.19
kraken:taxid|176024	16842	0.00	0.06	0.38
kraken:taxid|176057	16818	0.01	0.11	0.49
kraken:taxid|176192	16675	0.01	0.19	0.23
kraken:taxid|176196	16443	0.01	0.36	0.16
kraken:taxid|176275	29961	0.04	0.97	0.32
kraken:taxid|176285	14418	0.00	0.04	0.20
kraken:taxid|1764286	37591	0.03	0.42	0.61
kraken:taxid|1764295	37892	0.01	0.21	0.42
kraken:taxid|176453	51156	0.00	0.07	0.26
kraken:taxid|1765089	16582	0.10	2.08	0.24
kraken:taxid|176626	66704	0.00	0.06	0.10
kraken:taxid|1767050	16662	0.00	0.04	0.17
kraken:taxid|176822	54177	0.00	0.09	0.26
kraken:taxid|1769047	16462	0.00	0.09	0.21
kraken:taxid|177078	197427	0.02	0.54	0.14
kraken:taxid|177147	17160	0.01	0.23	0.20
kraken:taxid|1772269	17397	0.01	0.31	0.16
kraken:taxid|1775926	56464	0.00	0.04	0.05
kraken:taxid|177870	14732	0.03	0.64	0.18
kraken:taxid|1780282	1168029	0.00	0.12	0.06
kraken:taxid|1781627	15437	0.02	0.29	0.39
kraken:taxid|1783568	16018	0.01	0.08	0.57
kraken:taxid|178552	18990	0.01	0.13	0.18
kraken:taxid|178872	43990	0.00	0.03	0.12
kraken:taxid|178893	16995	0.15	3.69	0.18
kraken:taxid|1789663	14238	0.00	0.09	0.19
kraken:taxid|179049	186911	0.00	0.01	0.02
kraken:taxid|1792635	15813	0.00	0.08	0.18
kraken:taxid|1792847	16571	0.00	0.04	0.16
kraken:taxid|179409	16797	0.01	0.09	0.79
kraken:taxid|179425	14985	0.00	0.09	0.19
kraken:taxid|1795459	15967	0.14	3.13	0.42
kraken:taxid|179808	16746	0.00	0.05	0.20
kraken:taxid|1798942	16499	0.01	0.17	0.35
kraken:taxid|180179	16446	0.25	4.21	0.44
kraken:taxid|180228	48522	0.00	0.11	0.15
kraken:taxid|1802957	27186	0.26	2.87	2.93
kraken:taxid|1804611	17130	0.00	0.05	0.27
kraken:taxid|1804740	16641	0.01	0.25	0.30
kraken:taxid|180498	561839	0.00	0.10	0.06
kraken:taxid|180528	42091	0.37	2.13	5.57
kraken:taxid|1806175	15888	0.03	0.53	0.35
kraken:taxid|1806177	15588	0.00	0.04	0.19
kraken:taxid|1806179	15808	0.00	0.04	0.19
kraken:taxid|1806185	16027	0.00	0.09	0.19
kraken:taxid|1806187	16403	0.00	0.04	0.18
kraken:taxid|1806715	15173	0.01	0.08	0.57
kraken:taxid|1806867	16708	0.00	0.05	0.25
kraken:taxid|1806994	23811	0.06	1.61	0.26
kraken:taxid|1807361	15811	0.01	0.16	0.16
kraken:taxid|1807681	77864	0.00	0.04	0.03
kraken:taxid|1807688	105181	0.02	0.80	0.10
kraken:taxid|180788	24347	0.50	5.77	3.98
kraken:taxid|1808015	15565	0.00	0.04	0.19
kraken:taxid|181101	17009	0.00	0.08	0.15
kraken:taxid|181123	93299	0.00	0.04	0.06
kraken:taxid|1813533	422215	0.00	0.14	0.04
kraken:taxid|181393	16613	0.01	0.21	0.17
kraken:taxid|181425	16758	0.00	0.04	0.16
kraken:taxid|181431	16120	0.00	0.09	0.20
kraken:taxid|181440	16848	0.00	0.08	0.17
kraken:taxid|181520	129263	0.08	4.36	0.37
kraken:taxid|1815227	15784	0.00	0.04	0.16
kraken:taxid|181636	17834	0.14	3.14	0.51
kraken:taxid|181639	17817	0.00	0.04	0.18
kraken:taxid|181804	80193	0.01	0.25	0.16
kraken:taxid|1818613	15718	0.00	0.04	0.17
kraken:taxid|1820051	16128	0.00	0.08	0.17
kraken:taxid|182134	13064	0.01	0.10	0.41
kraken:taxid|1821822	60300	0.52	2.87	8.25
kraken:taxid|1821823	46165	0.36	5.22	4.20
kraken:taxid|182223	16782	0.01	0.24	0.15
kraken:taxid|182298	922816	0.00	0.02	0.01
kraken:taxid|182325	681203	0.00	0.19	0.03
kraken:taxid|1825620	29719	0.11	0.95	3.72
kraken:taxid|182845	39891	0.21	4.80	1.59
kraken:taxid|182891	17838	0.00	0.04	0.17
kraken:taxid|182897	16928	0.00	0.04	0.19
kraken:taxid|182898	16952	0.01	0.12	0.17
kraken:taxid|182910	16807	0.00	0.04	0.19
kraken:taxid|183177	16845	0.44	11.05	0.50
kraken:taxid|183478	75911	0.07	0.58	2.29
kraken:taxid|183540	17171	0.65	8.93	2.01
kraken:taxid|1836949	16577	0.01	0.13	0.43
kraken:taxid|1837245	48541	0.02	0.77	0.12
kraken:taxid|183865	14257	0.01	0.13	0.20
kraken:taxid|184108	45312	0.01	0.29	0.26
kraken:taxid|1842026	15607	0.00	0.04	0.17
kraken:taxid|184213	16953	0.00	0.04	0.16
kraken:taxid|184234	16851	0.03	0.59	0.25
kraken:taxid|1844314	15629	0.01	0.18	0.21
kraken:taxid|184482	131939	0.01	0.87	0.12
kraken:taxid|1846138	575242	0.01	0.16	0.37
kraken:taxid|1848120	16122	0.00	0.08	0.16
kraken:taxid|1848994	16620	0.01	0.20	0.18
kraken:taxid|185002	405416	0.38	24.72	0.37
kraken:taxid|1850319	15262	0.00	0.05	0.20
kraken:taxid|185530	539461	0.26	30.45	0.07
kraken:taxid|185689	16791	0.01	0.11	0.58
kraken:taxid|185738	16488	0.01	0.16	0.18
kraken:taxid|1857654	495499	0.03	0.32	0.95
kraken:taxid|186058	407988	0.00	0.06	0.12
kraken:taxid|1861842	17032	0.00	0.08	0.18
kraken:taxid|1863074	16494	0.01	0.16	0.17
kraken:taxid|186697	104979	0.01	0.40	0.10
kraken:taxid|1869259	17054	0.00	0.04	0.15
kraken:taxid|1869261	16466	0.00	0.04	0.13
kraken:taxid|186963	338456	0.00	0.03	0.02
kraken:taxid|187106	17090	0.01	0.14	0.47
kraken:taxid|187118	17026	0.00	0.06	0.32
kraken:taxid|187135	17092	0.01	0.14	0.23
kraken:taxid|1871911	202019	0.00	0.14	0.06
kraken:taxid|187286	221614	0.01	0.52	0.13
kraken:taxid|187318	15835	0.00	0.04	0.18
kraken:taxid|1873960	74089	0.02	0.25	0.66
kraken:taxid|187444	16832	0.01	0.13	0.43
kraken:taxid|187451	16874	0.01	0.19	0.41
