rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
VYXB01002286.1	1	768	9	112	14.5833	0.653646	40	26.6
VYXB01002287.1	1	761	1	43	5.65046	0.0565046	40	0
VYXB01002288.1	1	924	1	34	3.67965	0.0367965	40	11
VYXB01002289.1	1	1056	1	134	12.6894	0.126894	39.9	1
VYXB01002290.1	1	287	9	168	58.5366	1.39373	39.7	13
VYXB01002292.1	1	751	3	86	11.4514	0.161119	40	6.67
VYXB01002295.1	1	3438	34	735	21.3787	0.614602	39.7	19
VYXB01002296.1	1	12585	642	1680	13.3492	3.1683	39.6	3.51
VYXB01002297.1	1	3307	3	158	4.77774	0.0477774	39.1	1.33
VYXB01002298.1	1	4752	354	912	19.1919	4.36806	39.3	10.9
VYXB01002299.1	1	9463	17	473	4.99841	0.106626	39.4	1.53
VYXB01002300.1	1	144746	1193	36775	25.4066	0.545804	39.5	20
VYXB01002301.1	1	1382686	13543	415114	30.0223	0.650546	39.5	21.7
VYXB01002302.1	1	742875	8334	246808	33.2234	0.74215	39.5	22.2
VYXB01002303.1	1	218836	3245	56339	25.7449	0.95763	37.8	12.6
VYXB01002304.1	1	388284	3647	116940	30.1171	0.628787	39.5	22.3
VYXB01002305.1	1	867190	8821	268285	30.9373	0.667037	39.4	22.5
VYXB01002306.1	1	270837	3016	80488	29.7182	0.705679	39.4	18.9
VYXB01002307.1	1	52579	1937	9585	18.2297	3.10249	38.8	5.24
VYXB01002308.1	1	858287	8737	223644	26.057	0.664899	39.5	17.8
VYXB01002309.1	1	65612	556	16148	24.6114	0.552353	39.5	22
VYXB01002310.1	1	13327	56	1557	11.683	0.262325	39.3	5.88
VYXB01002311.1	1	214108	2015	63389	29.6061	0.635119	39.5	23
VYXB01002312.1	1	2808	10	329	11.7165	0.207265	39.7	6.1
VYXB01002313.1	1	4291	9	265	6.17572	0.10557	40	2.22
VYXB01002315.1	1	16439	117	3205	19.4963	0.461342	39.1	16.3
VYXB01002316.1	1	136604	1193	35947	26.3147	0.566806	39.6	18.9
VYXB01002317.1	1	186015	6243	44443	23.8922	2.96934	38.6	6.63
VYXB01002318.1	1	136371	1090	29570	21.6835	0.509903	38.9	15.3
VYXB01002319.1	1	254532	3108	69946	27.4802	0.751285	39.5	15.4
VYXB01002320.1	1	182161	2113	64304	35.3006	0.76764	39.5	25.4
VYXB01002321.1	1	613659	8843	203015	33.0827	0.969832	39.5	19.1
VYXB01002322.1	1	535940	5512	171200	31.9439	0.686739	39.5	23.1
VYXB01002323.1	1	151098	1206	41000	27.1347	0.549504	39.5	22.2
VYXB01002324.1	1	195771	2133	60495	30.9009	0.731855	39.5	21.7
VYXB01002326.1	1	840	4	53	6.30952	0.230952	39.4	2
VYXB01002327.1	1	1784426	15352	485268	27.1946	0.582084	39.5	21.3
VYXB01002328.1	1	224334	3079	61936	27.6088	0.861657	39.3	12.6
VYXB01002329.1	1	910	27	49	5.38462	0.983516	39.5	0.111
VYXB01002330.1	1	137289	1293	32101	23.3821	0.580491	39.5	14.5
VYXB01002331.1	1	2773	15	299	10.7825	0.370357	39.1	1.53
VYXB01002333.1	1	1673	21	95	5.67842	0.674836	39.6	8.71
VYXB01002334.1	1	547	1	33	6.03291	0.0603291	39.5	0
VYXB01002335.1	1	541	1	25	4.62107	0.0462107	40	5
VYXB01002336.1	1	1547	2	76	4.91273	0.0491273	39.4	4.5
VYXB01002340.1	1	1293	86	562	43.4648	3.88631	39.5	12
VYXB01002341.1	1	4566	10	355	7.77486	0.115856	39.8	19.5
VYXB01002342.1	1	1598	1	42	2.62829	0.0262829	40	0
VYXB01002344.1	1	1626	3	191	11.7466	0.117466	39.7	6
VYXB01002346.1	1	3632	31	1173	32.2963	0.597192	39.2	26
VYXB01002347.1	1	673	3	146	21.6939	0.304606	39.8	11
VYXB01002348.1	1	2493	117	852	34.1757	3.25953	39.6	13.5
VYXB01002349.1	1	2707	7	168	6.20613	0.106391	40	6
VYXB01002350.1	1	645	2	95	14.7287	0.204651	39	7
VYXB01002351.1	1	3569	51	551	15.4385	0.64696	36.4	2.98
VYXB01002352.1	1	1445	8	170	11.7647	0.308651	39.6	6.25
VYXB01002354.1	1	575	2	35	6.08696	0.121739	31.9	11
VYXB01002356.1	1	577	1	71	12.305	0.12305	39.8	35
VYXB01002357.1	1	6709	30	1145	17.0666	0.257266	39.1	15.6
VYXB01002358.1	1	2256	2	36	1.59574	0.0288121	40	2.5
VYXB01002359.1	1	10412	88	2396	23.0119	0.570688	39.5	21.2
VYXB01002360.1	1	88175	792	24675	27.9841	0.625517	39.5	24.7
VYXB01002361.1	1	331129	2844	84508	25.5212	0.578666	39.5	17.8
VYXB01002362.1	1	38961	273	8796	22.5764	0.453017	39.5	14.8
VYXB01002363.1	1	241420	2051	64501	26.7173	0.569576	39.5	20.5
VYXB01002364.1	1	346861	3342	103392	29.8079	0.656318	39.5	22.9
VYXB01002365.1	1	378644	2557	69999	18.4868	0.433507	39.2	17.3
VYXB01002366.1	1	272460	3435	65871	24.1764	0.88464	39.4	12.5
VYXB01002367.1	1	422245	5693	124471	29.4784	0.830094	39.2	15.7
VYXB01002368.1	1	929137	8359	259403	27.9187	0.603194	39.5	22.5
VYXB01002369.1	1	2656	26	613	23.0798	0.6875	39.7	9.65
VYXB01002370.1	1	39019	324	8618	22.0867	0.533791	39.5	14.3
VYXB01002371.1	1	362356	3311	100826	27.8251	0.594156	39.4	21.1
VYXB01002372.1	1	736834	9425	230435	31.2737	0.850975	39.2	18.5
VYXB01002373.1	1	46185	337	10851	23.4946	0.505922	39.5	25
VYXB01002374.1	1	420713	5092	95076	22.5988	0.830141	39.5	13.5
VYXB01002376.1	1	219675	2215	65035	29.6051	0.684734	39.6	20.7
VYXB01002377.1	1	6044	54	882	14.593	0.556916	39.5	6.28
VYXB01002378.1	1	986658	25359	295319	29.9312	1.68685	38	9.41
VYXB01002379.1	1	470088	5987	157047	33.408	0.809189	39.3	20.7
VYXB01002380.1	1	96485	590	19348	20.0529	0.434213	39.6	18.5
VYXB01002381.1	1	25037	173	4204	16.7911	0.451532	39.1	16.4
VYXB01002382.1	1	27960	149	3633	12.9936	0.297246	39	12.1
VYXB01002383.1	1	508414	4319	122341	24.0633	0.538669	39.5	18.7
VYXB01002384.1	1	124014	905	29763	23.9997	0.496065	39.5	18.8
VYXB01002385.1	1	44577	629	7878	17.6728	0.911479	38	9.73
VYXB01002386.1	1	16766	105	2801	16.7064	0.342479	39.5	15.8
VYXB01002388.1	1	79680	913	26314	33.0246	0.766529	39.6	23.8
VYXB01002389.1	1	11985	74	824	6.87526	0.275678	39.6	4.26
VYXB01002390.1	1	745	512	79	10.604	24.4523	39.6	0.0586
VYXB01002391.1	1	7407	126	428	5.77832	0.636695	39.6	0.921
VYXB01002393.1	1	6596	37	849	12.8714	0.318981	37.6	17.4
VYXB01002394.1	1	693959	6246	186196	26.831	0.591593	39.4	20
VYXB01002395.1	1	48346	435	11693	24.1861	0.591155	39.5	18.4
VYXB01002396.1	1	112359	859	27928	24.856	0.517573	39.6	21.7
VYXB01002397.1	1	2618	4	173	6.6081	0.0802139	39.9	8
VYXB01002398.1	1	447	1	102	22.8188	0.228188	26	60
VYXB01002399.1	1	1454	131	277	19.0509	4.54677	39.6	5.93
VYXB01002400.1	1	46232	428	9641	20.8535	0.561797	39.1	12.7
VYXB01002401.1	1	110409	789	24508	22.1975	0.488873	39.6	20.5
VYXB01002402.1	1	249886	2154	68228	27.3037	0.568123	39.5	22.5
VYXB01002403.1	1	848	8	193	22.7594	0.476415	39.1	5.62
VYXB01002404.1	1	59295	486	15514	26.1641	0.546269	39.5	22.6
VYXB01002405.1	1	10898	192	2970	27.2527	0.953845	39.5	7.43
VYXB01002406.1	1	72497	1068	11395	15.7179	0.987544	39.1	7.33
VYXB01002407.1	1	2880	10	312	10.8333	0.221528	39.9	3.7
VYXB01002408.1	1	15159	122	3619	23.8736	0.535062	39.5	13.5
VYXB01002409.1	1	6273	23	416	6.6316	0.173442	39.5	8.13
VYXB01002410.1	1	465	3	100	21.5054	0.522581	40	0.667
VYXB01002412.1	1	536	49	113	21.0821	6.40299	36.6	0.898
VYXB01002413.1	1	15877	115	4121	25.9558	0.482522	39.5	26.9
VYXB01002414.1	1	4077	2568	815	19.9902	32.1923	39.4	8.97
VYXB01002415.1	1	17046	342	6062	35.5626	1.24627	38.7	15.3
VYXB01002416.1	1	488	2	58	11.8852	0.237705	40	6.5
VYXB01002417.1	1	1004563	8725	276494	27.5238	0.586891	39.5	21.7
VYXB01002418.1	1	41511	450	10874	26.1955	0.746067	39.6	17
VYXB01002420.1	1	987264	14254	332488	33.6777	0.999807	39.4	18.7
VYXB01002421.1	1	36962	312	9687	26.208	0.581895	39.4	22.9
VYXB01002422.1	1	6385	24	380	5.95145	0.232263	39.7	4.92
VYXB01002423.1	1	1138	14	268	23.5501	0.549209	39.9	3.64
VYXB01002424.1	1	2640	12	452	17.1212	0.277652	39.2	13.5
VYXB01002425.1	1	219227	1949	59851	27.3009	0.613747	39.5	20.7
VYXB01002426.1	1	35490	139	4886	13.7673	0.256269	39.5	11.2
VYXB01002427.1	1	3721	20	562	15.1035	0.343187	39.7	16.6
VYXB01002428.1	1	38313	476	11472	29.9428	0.751729	39.3	15.9
VYXB01002429.1	1	16939	235	5402	31.8909	0.901293	39.1	19.9
VYXB01002431.1	1	37251	384	10921	29.3173	0.677566	39.6	19.4
VYXB01002432.1	1	570	2	59	10.3509	0.207018	38	3
VYXB01002433.1	1	27223	165	5162	18.9619	0.393491	39.4	21.3
VYXB01002435.1	1	25983	217	7219	27.7836	0.571297	39.5	22.2
VYXB01002439.1	1	1212	5	89	7.34323	0.221947	39.9	0
VYXB01002440.1	1	786	32	170	21.6285	3.0598	39.7	9
VYXB01002441.1	1	9391	39	542	5.77148	0.207859	38.2	6.05
VYXB01002443.1	1	10058	90	2912	28.9521	0.575164	39.3	16.2
VYXB01002444.1	1	401	2	45	11.2219	0.224439	40	1
VYXB01002446.1	1	2451	4	127	5.18156	0.0909833	40	15.8
VYXB01002447.1	1	2328	16	651	27.9639	0.513316	39.6	14.8
VYXB01002448.1	1	185275	1720	51077	27.5682	0.620515	39.4	19
VYXB01002449.1	1	779	26	232	29.7818	2.35558	39.5	20.8
VYXB01002452.1	1	4875	14	380	7.79487	0.166154	39.8	3.14
VYXB01002454.1	1	480	1	48	10	0.1	40	22
VYXB01002455.1	1	830	18	162	19.5181	1.16747	38.5	14.6
VYXB01002457.1	1	702	4	200	28.49	0.428775	39.9	19
VYXB01002458.1	1	475	3	129	27.1579	0.343158	39.6	0
VYXB01002460.1	1	1990	4	143	7.18593	0.128141	39	21.5
VYXB01002462.1	1	5906	33	1098	18.5913	0.33085	39.5	20.6
VYXB01002463.1	1	889	11	219	24.6344	0.776153	39.7	2.45
VYXB01002464.1	1	550	2	37	6.72727	0.121818	39.5	5.5
VYXB01002465.1	1	363	1	68	18.7328	0.187328	39.8	0
VYXB01002466.1	1	1289	4	103	7.99069	0.159814	39.6	13.5
VYXB01002467.1	1	2277	33	483	21.2121	0.879666	39.8	5.82
VYXB01002468.1	1	2532	13	325	12.8357	0.404818	38.2	9.31
VYXB01002469.1	1	900	14	155	17.2222	0.882222	39.9	19.2
VYXB01002470.1	1	2721	15	442	16.244	0.310548	39.5	16.4
VYXB01002471.1	1	783	6	156	19.9234	0.324393	37.7	12.8
VYXB01002473.1	1	1522	4	188	12.3522	0.180026	39.8	0.5
VYXB01002474.1	1	57577	473	14869	25.8245	0.531983	39.4	18
VYXB01002475.1	1	44535	357	8651	19.4252	0.582059	39.5	14.9
VYXB01002476.1	1	537	3	60	11.1732	0.294227	40	0
VYXB01002477.1	1	8147	56	1612	19.7864	0.430833	39.3	14.5
VYXB01002478.1	1	462	2	46	9.95671	0.199134	40	0
VYXB01002479.1	1	64024	464	16072	25.1031	0.479148	39.5	20.9
VYXB01002480.1	1	1275	10	76	5.96078	0.512941	39.9	8.8
VYXB01002482.1	1	2644	9	333	12.5946	0.280635	38.2	10.7
VYXB01002483.1	1	3584	1	32	0.892857	0.00892857	40	0
VYXB01002485.1	1	2448	6	95	3.88072	0.0980392	39.6	10.5
VYXB01002486.1	1	490	1	56	11.4286	0.114286	40	26
VYXB01002487.1	1	771	3	131	16.9909	0.245136	39.1	0.667
VYXB01002488.1	1	458	1	91	19.869	0.19869	40	6
VYXB01002489.1	1	8221	28	906	11.0206	0.216032	39.6	23.3
VYXB01002490.1	1	1532	11	290	18.9295	0.428198	39.7	3.36
VYXB01002491.1	1	874	12	224	25.6293	1.02975	36.2	32.8
VYXB01002493.1	1	1777	7	166	9.34159	0.241981	39.3	6.71
VYXB01002494.1	1	2304	7	138	5.98958	0.203993	39.9	20.7
VYXB01002495.1	1	998	2	47	4.70942	0.0941884	39.8	1
VYXB01002497.1	1	554	3	99	17.87	0.1787	40	0
VYXB01002498.1	1	3042	2	100	3.28731	0.0328731	40	2.5
VYXB01002499.1	1	1068	6	228	21.3483	0.526217	39.8	50.7
VYXB01002501.1	1	1014	103	474	46.7456	5.50394	38.8	7.17
VYXB01002502.1	1	7234	62	791	10.9345	0.551009	39.4	7.58
VYXB01002503.1	1	1206	8	170	14.0962	0.325041	39.9	6.88
VYXB01002504.1	1	2470	15	424	17.166	0.345344	39.6	12.8
VYXB01002505.1	1	4861	7	137	2.81835	0.0794075	39.8	0.143
VYXB01002506.1	1	6407	77	1155	18.0272	0.648822	39.5	2.32
VYXB01002507.1	1	2121	1	58	2.73456	0.0273456	39.7	4
VYXB01002508.1	1	673	4	122	18.1278	0.322437	38.9	13.5
VYXB01002510.1	1	2500	11	232	9.28	0.2872	39.5	2.64
VYXB01002511.1	1	910	2	101	11.0989	0.110989	40	0
VYXB01002512.1	1	2906	4	227	7.81142	0.0801789	39.9	0
VYXB01002513.1	1	30161	285	8647	28.6695	0.622526	39.3	19.9
VYXB01002514.1	1	7077	29	888	12.5477	0.302247	39.7	21.6
VYXB01002516.1	1	2172	251	476	21.9153	8.91805	39.3	29.4
VYXB01002517.1	1	630805	8161	180783	28.6591	0.838308	38.7	15.4
VYXB01002518.1	1	36717	478	12096	32.9439	0.844868	39.4	18.5
VYXB01002519.1	1	7934	52	1477	18.6161	0.403201	39	16.8
VYXB01002520.1	1	56339	432	12597	22.3593	0.53171	39.6	19
VYXB01002521.1	1	165879	1085	29717	17.9149	0.434594	39.3	15.6
VYXB01002522.1	1	142172	1306	37442	26.3357	0.591375	39.5	18.3
VYXB01002523.1	1	138730	5838	36790	26.5191	2.11256	37.1	5.09
VYXB01002524.1	1	190815	1300	42482	22.2634	0.468386	39.5	19.1
VYXB01002525.1	1	403017	5611	118132	29.3119	0.912406	39.3	16.2
VYXB01002526.1	1	19782	169	3253	16.4442	0.495855	38.9	10.1
VYXB01002527.1	1	389180	3544	102168	26.2521	0.584097	39.5	17.1
VYXB01002528.1	1	538030	7499	173563	32.259	0.87163	39.4	18.3
VYXB01002529.1	1	208930	6996	55509	26.5682	2.2626	39.4	8.57
VYXB01002530.1	1	251552	5448	62033	24.6601	1.7434	39.4	9.12
VYXB01002531.1	1	46705	331	9543	20.4325	0.449352	39.2	22.2
VYXB01002532.1	1	773565	6802	206437	26.6864	0.594722	39.3	21.5
VYXB01002533.1	1	1034210	12235	328380	31.7518	0.769673	38.2	19.9
VYXB01002534.1	1	394190	3183	99667	25.284	0.550192	39.5	20.9
VYXB01002536.1	1	1311	3	29	2.21205	0.0663616	39.8	1
VYXB01002537.1	1	161141	2505	38856	24.113	0.923762	38.4	10.6
VYXB01002538.1	1	28766	399	10584	36.7934	0.954147	39.7	19.1
VYXB01002539.1	1	13341	212	1254	9.3996	0.928341	39.4	12.5
VYXB01002540.1	1	371629	3565	105283	28.3301	0.637092	39.5	21.7
VYXB01002542.1	1	868	1	81	9.3318	0.093318	39.8	0
VYXB01002543.1	1	1338	5	146	10.9118	0.266816	39.6	4
VYXB01002544.1	1	4576	8	189	4.13024	0.120629	37.4	4
VYXB01002545.1	1	8584	215	1299	15.1328	1.77516	39.6	13.8
VYXB01002546.1	1	120960	1269	36031	29.7875	0.658929	39.5	21.2
VYXB01002547.1	1	10753	74	1453	13.5125	0.424068	38.8	12.5
VYXB01002548.1	1	34141	224	7395	21.6602	0.431182	39.3	18.1
VYXB01002549.1	1	1118	4	196	17.5313	0.228086	39.9	30.8
VYXB01002550.1	1	359055	8225	96134	26.7742	1.81753	38.8	11
VYXB01002552.1	1	856	3	121	14.1355	0.227804	40	6.67
VYXB01002553.1	1	40939	654	10054	24.5585	1.0288	39.2	10.9
VYXB01002554.1	1	940948	14366	278650	29.6138	1.01044	39.1	14.6
VYXB01002555.1	1	988	138	440	44.5344	7.3998	39.8	0.0145
VYXB01002556.1	1	173407	2325	55359	31.9243	0.865905	39.5	19.3
VYXB01002557.1	1	3019	9	155	5.13415	0.23849	39.8	28.3
VYXB01002558.1	1	1940	6	230	11.8557	0.176289	40	27.8
VYXB01002559.1	1	6576	7	192	2.91971	0.0413625	39.8	0.714
VYXB01002560.1	1	17513	205	5688	32.4787	0.786616	39.7	21.7
VYXB01002562.1	1	742	17	140	18.8679	1.72776	39.6	16.3
VYXB01002563.1	1	812	5	38	4.6798	0.182266	30.7	1
VYXB01002564.1	1	2733	3	55	2.01244	0.0303696	39.4	2.33
VYXB01002565.1	1	838	21	143	17.0644	1.07757	37.9	2.05
VYXB01002566.1	1	44117	373	5382	12.1994	0.56094	39.5	10.4
VYXB01002567.1	1	3719	7	185	4.97446	0.113202	39.8	5
VYXB01002568.1	1	1037	11	137	13.2112	0.613308	39.8	12.3
VYXB01002569.1	1	1966	5	90	4.57782	0.178535	38	50
VYXB01002571.1	1	89169	898	27086	30.376	0.667889	39.5	23.3
VYXB01002572.1	1	951	10	43	4.52156	0.388013	40	5.3
VYXB01002573.1	1	1074	3	31	2.88641	0.0810056	39.3	0
VYXB01002574.1	1	2411	10167	947	39.2783	284.219	39.7	8.86
VYXB01002576.1	1	759	9	293	38.6034	0.843215	39.9	20
VYXB01002577.1	1	8433	45	1717	20.3605	0.331199	39.7	12.6
VYXB01002578.1	1	792	2	36	4.54545	0.0909091	40	1
VYXB01002579.1	1	1527	6	239	15.6516	0.18926	39.8	3.33
VYXB01002580.1	1	2577	21	396	15.3667	0.533954	39.9	2.19
VYXB01002581.1	1	1734	4	156	8.99654	0.194925	40	34
VYXB01002583.1	1	835	1	38	4.5509	0.045509	40	7
VYXB01002584.1	1	7423	66	1261	16.9877	0.491311	37.1	15.7
VYXB01002585.1	1	716	2	77	10.7542	0.124302	40	6
VYXB01002587.1	1	1306	7	370	28.3308	0.334609	39.9	12.9
VYXB01002588.1	1	482	3	71	14.7303	0.219917	40	0
VYXB01002589.1	1	4984	74	743	14.9077	0.678371	39.6	1.76
VYXB01002590.1	1	1084	7	193	17.8044	0.390221	39.7	3.71
VYXB01002591.1	1	944	24	507	53.7076	2.1589	39.5	34.8
VYXB01002592.1	1	733	2	63	8.59482	0.171896	40	26
VYXB01002593.1	1	2635	20	406	15.408	0.505882	39.1	4.75
VYXB01002594.1	1	953	4	87	9.12907	0.208814	39.8	10.2
VYXB01002595.1	1	1176	25	755	64.2007	1.56122	39.8	27.4
VYXB01002596.1	1	2502	5	178	7.11431	0.143485	39.8	44.6
VYXB01002597.1	1	2016	3	107	5.30754	0.0753968	40	16.3
VYXB01002598.1	1	7689	77	2341	30.4461	0.702692	39.4	21.7
VYXB01002599.1	1	472	2	66	13.9831	0.279661	40	11
VYXB01002600.1	1	637	55	76	11.9309	3.03768	39.6	1.15
VYXB01002601.1	1	1420	11	294	20.7042	0.597183	39.5	5.27
VYXB01002602.1	1	4117	26	800	19.4316	0.399077	39.8	11.5
VYXB01002603.1	1	2170	4	126	5.80645	0.128111	36.8	2.75
VYXB01002604.1	1	2298	12	425	18.4943	0.486945	39.7	34.3
VYXB01002605.1	1	1147	2	64	5.57977	0.0793374	40	18.5
VYXB01002606.1	1	2986	31	866	29.002	0.702612	39.5	6.26
VYXB01002607.1	1	69864	588	16340	23.3883	0.545646	39.5	17.1
VYXB01002608.1	1	34156	334	7929	23.2141	0.591755	39.5	11.6
VYXB01002609.1	1	1763453	16590	480770	27.263	0.62808	39.4	21.1
VYXB01002610.1	1	368926	3743	111424	30.2023	0.674669	39.5	21.3
VYXB01002611.1	1	525318	6672	154940	29.4945	0.838125	38.9	18.2
VYXB01002612.1	1	349285	3642	111165	31.8264	0.686336	39.5	22
VYXB01002613.1	1	297216	3461	80022	26.9239	0.701584	39.4	17.2
VYXB01002614.1	1	145314	763	25730	17.7065	0.358389	39.5	16.8
VYXB01002615.1	1	6089	38	1333	21.8919	0.463951	39.7	22.7
VYXB01002616.1	1	133615	1616	33977	25.429	0.773394	39.6	17.8
VYXB01002617.1	1	353326	2754	90416	25.59	0.531433	39.6	21.8
VYXB01002618.1	1	1068756	11138	321164	30.0503	0.679759	39.5	22.3
VYXB01002619.1	1	387524	5992	98344	25.3775	1.26391	39.1	9.6
VYXB01002620.1	1	457205	4529	127561	27.9002	0.632788	39.5	20
VYXB01002621.1	1	1395619	14556	408094	29.2411	0.664394	39.5	19.7
VYXB01002622.1	1	847788	10892	237502	28.0143	0.823004	39.2	15.4
VYXB01002623.1	1	66007	437	13910	21.0735	0.432833	39.5	15.3
VYXB01002624.1	1	501087	5718	168313	33.5896	0.761804	39.4	22.1
VYXB01002625.1	1	284866	3222	74174	26.0382	0.834273	39.2	15.9
VYXB01002626.1	1	169042	1687	38626	22.8499	0.626856	38.6	12.8
VYXB01002627.1	1	437680	8619	143810	32.8573	1.16751	39.1	13.8
VYXB01002628.1	1	210027	2330	68243	32.4925	0.733639	39.4	21.2
VYXB01002629.1	1	295520	2735	83235	28.1656	0.629947	39.5	22.4
VYXB01002630.1	1	63153	534	18102	28.6637	0.579102	39.5	21
VYXB01002631.1	1	477736	5695	136258	28.5216	0.752288	39.3	17.4
VYXB01002633.1	1	312055	2903	88287	28.2921	0.622781	39.5	21.4
VYXB01002634.1	1	22814	246	6061	26.567	0.733453	39.3	23.1
VYXB01002635.1	1	868078	9150	253484	29.2006	0.693941	39.5	20.1
VYXB01002636.1	1	219883	2198	67945	30.9005	0.668242	39.6	21.1
VYXB01002637.1	1	276721	2830	82424	29.786	0.664933	39.5	21.6
VYXB01002638.1	1	267480	2600	80294	30.0187	0.650101	39.5	22.5
VYXB01002639.1	1	46032	386	10539	22.8949	0.540255	39.5	15.5
VYXB01002640.1	1	7502	12	330	4.39883	0.0834444	39.7	0.25
VYXB01002641.1	1	847524	12437	300827	35.4948	0.938183	38.7	21.2
VYXB01002642.1	1	1642	2	99	6.02923	0.0602923	39.7	0.5
VYXB01002643.1	1	11389	80	862	7.56871	0.449557	39.6	3.38
VYXB01002644.1	1	133074	1273	35256	26.4935	0.618859	39.5	18.7
VYXB01002645.1	1	529	1	49	9.26276	0.0926276	40	11
VYXB01002646.1	1	127114	1397	39380	30.9801	0.690915	39.3	20.1
VYXB01002647.1	1	70916	534	17210	24.2681	0.497335	39.6	20.4
VYXB01002648.1	1	16420	159	3048	18.5627	0.596894	39.5	14.1
VYXB01002649.1	1	2520	17	651	25.8333	0.391667	39.8	5.59
VYXB01002650.1	1	137033	1155	32837	23.9628	0.538571	39.5	16.7
VYXB01002651.1	1	809	1	37	4.57355	0.0457355	40	12
VYXB01002652.1	1	1145	10	238	20.786	0.535371	38.6	8
VYXB01002653.1	1	3173	11	340	10.7154	0.24677	39.3	0.455
VYXB01002654.1	1	314545	3579	106944	33.9996	0.757707	39.5	23
VYXB01002655.1	1	1677	4	214	12.7609	0.144902	39.9	1.25
VYXB01002656.1	1	3870	34	853	22.0413	0.421447	39.8	10.7
VYXB01002658.1	1	18446	229	4225	22.9047	0.717933	38.6	9.72
VYXB01002659.1	1	9383	118	3293	35.0954	0.804647	39.6	19.7
VYXB01002660.1	1	11429	67	676	5.91478	0.383411	39.6	2.16
VYXB01002661.1	1	2835	7	157	5.53792	0.100882	39.9	1.71
VYXB01002662.1	1	2169	15	431	19.8709	0.39373	39.7	7.8
VYXB01002663.1	1	48334	453	9347	19.3384	0.537675	39.3	11.5
VYXB01002665.1	1	20126	168	4805	23.8746	0.603846	39.6	19.8
VYXB01002667.1	1	4366	34	618	14.1548	0.524279	39.3	15.9
VYXB01002668.1	1	790	3	79	10	0.160759	39.7	4.33
VYXB01002669.1	1	41464	669	16715	40.3121	1.12963	39.5	22.3
VYXB01002670.1	1	4142	8	198	4.7803	0.0934331	39.1	6.38
VYXB01002671.1	1	115691	1477	28826	24.9164	0.70926	36.9	14.5
VYXB01002673.1	1	1298	8	350	26.9646	0.46225	37.4	22.6
VYXB01002674.1	1	9263	17	688	7.4274	0.110655	39.9	9.88
VYXB01002675.1	1	2421	2	84	3.46964	0.0693928	39.8	3
VYXB01002676.1	1	21086	1214	5913	28.0423	3.81414	39.5	8.34
VYXB01002677.1	1	117563	1410	38794	32.9985	0.779004	39.5	17.5
VYXB01002678.1	1	4776	9	284	5.9464	0.118719	39.7	5
VYXB01002679.1	1	4297	18	472	10.9844	0.248778	39.1	2.61
VYXB01002680.1	1	9710	151	1040	10.7106	0.835736	39.1	1.81
VYXB01002683.1	1	4923	3	141	2.86411	0.0286411	40	2.67
VYXB01002684.1	1	1141	96	410	35.9334	4.92989	39.7	9.99
VYXB01002685.1	1	847	6	137	16.1747	0.604486	39.9	0
VYXB01002686.1	1	492	1	76	15.4472	0.154472	38.3	1
VYXB01002687.1	1	553	2	62	11.2116	0.166365	39.7	15.5
VYXB01002688.1	1	1374	3	164	11.936	0.181951	36.9	26.3
VYXB01002690.1	1	472	3	60	12.7119	0.381356	39.8	0
VYXB01002693.1	1	1118	51	302	27.0125	1.91055	39.5	4.82
VYXB01002694.1	1	21915	235	7062	32.2245	0.747342	39.5	19.8
VYXB01002696.1	1	396	27	261	65.9091	4.62374	39.6	13.9
VYXB01002698.1	1	930	8	207	22.2581	0.396774	39.7	17.2
VYXB01002699.1	1	714	3	33	4.62185	0.135854	39.5	4
VYXB01002703.1	1	1077	1	71	6.59239	0.0659239	39.3	0
VYXB01002704.1	1	506	3	90	17.7866	0.284585	40	1
VYXB01002705.1	1	2574	4	116	4.5066	0.0582751	39.6	9
VYXB01002707.1	1	1199	7	191	15.9299	0.356964	39.6	15.6
VYXB01002708.1	1	2505	4	126	5.02994	0.0858283	39.9	0.75
VYXB01002709.1	1	5629	77	2385	42.3699	0.895896	39.5	23.3
VYXB01002710.1	1	8878	11	337	3.7959	0.0675828	39.7	0.727
VYXB01002711.1	1	712583	11139	226549	31.7926	1.03431	39.2	17.1
VYXB01002712.1	1	4486	20	646	14.4004	0.303388	39.3	15.2
VYXB01002713.1	1	345400	3914	107367	31.0848	0.770559	39.5	21.1
VYXB01002714.1	1	137061	1039	30895	22.5411	0.51982	39.5	19.8
VYXB01002715.1	1	14311	40	743	5.19181	0.150723	38.3	2.12
VYXB01002716.1	1	601452	17974	175690	29.211	2.62018	38.5	7.09
VYXB01002717.1	1	16889	146	4158	24.6196	0.54876	39.4	11.7
VYXB01002718.1	1	724517	6647	198056	27.3363	0.62515	39.5	20.3
VYXB01002719.1	1	300767	3607	102514	34.0842	0.807845	39.5	23.2
VYXB01002720.1	1	908068	11698	321507	35.4056	0.837914	39.4	22.3
VYXB01002721.1	1	395681	3743	111837	28.2644	0.644203	39.6	21.9
VYXB01002722.1	1	401303	3755	105183	26.2104	0.600471	39.4	18.8
VYXB01002724.1	1	158116	1664	50286	31.8032	0.702048	39.5	24.2
VYXB01002725.1	1	158917	2941	43492	27.3677	1.18904	39.4	13
VYXB01002726.1	1	532426	4873	144425	27.1258	0.592706	39.5	20.6
